,feature,coefficient,odds_ratio
0,PageValues_log,1.2701345574813958,3.5613317339452712
1,Month_May,-1.1589578852288582,0.31381303974489533
2,high_exit_rate,-0.9845145042282955,0.37362057412041066
3,Month_Mar,-0.9571059804839325,0.3840025904383609
4,TrafficType_5,0.8061544511708306,2.2392801467725962
5,TrafficType_8,0.7613142736335905,2.1410883481025484
6,Month_Nov,0.6912247265046491,1.996158785351786
7,Month_Dec,-0.6726904976186557,0.5103336774889334
8,TrafficType_20,0.6613701188844011,1.9374450467674653
9,TrafficType_13,-0.5522315097145553,0.5756637767057958
