,feature,coefficient,abs_coef,odds_ratio
0,PageValues_log,1.2701345574813958,1.2701345574813958,3.5613317339452712
1,Month_May,-1.1589578852288582,1.1589578852288582,0.31381303974489533
2,high_exit_rate,-0.9845145042282955,0.9845145042282955,0.37362057412041066
3,Month_Mar,-0.9571059804839325,0.9571059804839325,0.3840025904383609
4,TrafficType_5,0.8061544511708306,0.8061544511708306,2.2392801467725962
5,TrafficType_8,0.7613142736335905,0.7613142736335905,2.1410883481025484
6,Month_Nov,0.6912247265046491,0.6912247265046491,1.996158785351786
7,Month_Dec,-0.6726904976186557,0.6726904976186557,0.5103336774889334
8,TrafficType_20,0.6613701188844011,0.6613701188844011,1.9374450467674653
9,TrafficType_13,-0.5522315097145553,0.5522315097145553,0.5756637767057958
10,TrafficType_11,0.5118868122021591,0.5118868122021591,1.6684362528264016
11,VisitorType_New_Visitor,0.41020344568337425,0.41020344568337425,1.5071243718726852
12,TrafficType_2,0.3300074819771381,0.3300074819771381,1.3909785356944506
13,TrafficType_4,0.25009032462880565,0.25009032462880565,1.284141401044924
14,Visited_Informational,0.24408777201764786,0.24408777201764786,1.276456362723131
15,TrafficType_10,0.23902920400692793,0.23902920400692793,1.2700156255873885
16,ExitRates,-0.2323192322486085,0.2323192322486085,0.7926930297326799
17,is_special_day,-0.16820627411308767,0.16820627411308767,0.8451794780554116
18,TrafficType_6,-0.14247627145921637,0.14247627145921637,0.8672081316316382
19,Administrative,-0.1208679511605107,0.1208679511605107,0.886150967074169
20,TrafficType_3,-0.10335424092810924,0.10335424092810924,0.9018074597809141
21,ProductRelated,0.0942840429824198,0.0942840429824198,1.0988718284240953
22,ProductRelated_Duration_sqrt,0.09009224703317416,0.09009224703317416,1.0942752226922472
23,TrafficType_Other,0.042298370942517975,0.042298370942517975,1.0432056945859072
24,Administrative_Duration_log,0.01698804034807964,0.01698804034807964,1.017133157693976
25,has_bounce,-0.011183373252226538,0.011183373252226538,0.9888789282033318
26,Informational,0.008079952064931478,0.008079952064931478,1.0081126829729508
